id,name,desc,price,oldPrice,imageClass,category,tag
"sua-chua-nep-cam","Sữa Chua Nếp Cẩm","Nếp cẩm ủ men thơm nồng bùi bùi, ăn kèm sữa chua thanh mát ít ngọt.","25000","","mock-img-suachuanepcam","yogurt",""
"sua-chua-hoa-qua","Sữa Chua Hoa Quả","Trái cây tươi theo mùa cắt hạt lựu hòa mình trong lớp sữa chua chua ngọt đánh thức vị giác.","25000","","mock-img-suachuahoaqua","yogurt",""
"sua-chua-tran-chau","Sữa Chua Trân Châu","Trân châu trắng giòn và trân châu đen dẻo bùi trong sốt sữa chua thanh dịu.","20000","","mock-img-suachuatranchau","yogurt",""
"matcha-latte","Matcha Latte","Trà xanh Nhật Bản đậm vị chan lẫn sữa tươi thơm béo và bọt kem mịn màng.","25000","","mock-img-matcha","drinks",""
"tra-quat-nha-dam","Trà Quất Nha Đam","Vị chua thanh của quất hòa với nha đam giòn tan, thanh mát giải nhiệt mùa hè.","15000","","mock-img-traquat","drinks",""
"tra-chanh","Trà Chanh","Hương vị trà đen nguyên bản kết hợp chanh tươi mộc mạc và sảng khoái.","15000","","mock-img-trachanh","drinks",""
"tra-tac-xi-muoi","Trà Tắc Xí Muội","Trà ủ sậm màu với tắc thơm lừng thêm viên xí muội mặn mặn chua chua độc đáo.","20000","","mock-img-tratac","drinks",""
"tra-thai-xanh","Trà Thái Xanh","Trà Thái xanh thơm mát với sữa đặc béo nhẹ, thêm chút hương vani dịu dàng khó cưỡng.","20000","","mock-img-trathai","drinks",""
"sua-chua-danh-da","Sữa Chua Đánh Đá","Sữa chua tươi đánh bông mịn, đá xay lạnh sảng khoái — giải nhiệt nhanh nhất hè này.","25000","","mock-img-suachuadada","drinks",""
"sua-chua-viet-quat","Sữa Chua Việt Quất","Sữa chua chua dịu kết hợp việt quất tím đậm antioxidant, vừa ngon vừa healthy.","25000","","mock-img-suachua-vietquat","drinks",""
"sua-chua-chanh-leo","Sữa Chua Chanh Leo","Chanh leo chua thanh bùng nổ hòa vào lớp sữa chua mịn mượt, cực mát và đã khát.","25000","","mock-img-suachua-chanhleo","drinks",""
"sua-chua-dau-tay","Sữa Chua Dâu Tây","Dâu tây đỏ mọng đậm hương, hòa quyện cùng sữa chua trắng tinh khiết — màu sắc và vị đều đỉnh.","25000","","mock-img-suachua-dautay","drinks",""
"sua-chua-oi-hong","Sữa Chua Ổi Hồng","Ổi hồng giòn thơm đặc trưng, kết hợp sữa chua tươi mát — vị ngọt nhẹ rất đặc biệt.","25000","","mock-img-suachua-oihong","drinks",""
